"Master Skill"                                "Sub-Category-1"              "Sub-Category-2"                  "Sub-Category-3"                  "Skill-Name"
"Specialized Skills and Certifications"       "3rd Party Products"          "Collaboration"                   "PBX"                             "NEC"
"Specialized Skills and Certifications"       "3rd Party Products"          "ISI Billing"                     "ISI Billing"                     "ISI Billing"
"Professional Skills"                         "Analytics and Big Data"      "Big Data Analytical Processing"  "Big Data Analytical Processing"  "Big Data Analytical Processing"
"Delivery Skills"                             "Design Services"             "BN Low Level Design"             "BN Low Level Design"             "BN Low Level Design"
"Delivery Skills"                             "Operate"                     "Assessment"                      "Network Analysis"                "Network Analysis"
"Delivery Skills"                             "Operate"                     "NW Management"                   "NBAR"                            "NBAR"
"Delivery Skills"                             "Security"                    "Tool Based Services"             "Audits"                          "Audits"
"Delivery Skills"                             "Wireless"                    "Design"                          "Lab Testing"                     "Lab Testing"
"Professional Skills"                         "Business Acumen"             "Analyzing Trends in Data"        "Analyzing Trends in Data"        "Analyzing Trends in Data"
"Product"                                     "Cable Subscriber"            "DNCS"                            "DNCS"                            "DNCS"
